"Year","Media","Pais"
"1950","22.07","Tanzania"
"1950","26.09","Thailand"
"1950","25.43","Timor Leste"
"1950","26.94","Togo"
"1950","23.48","Tonga"
"1950","25.97","Trinidad And Tobago"
"1950","20.12","Tunisia"
"1950","11.47","Turkey"
"1950","13.65","Turkmenistan"
"1950","26.36","Turks And Caicas Islands"
"1950","22.97","Uganda"
"1950","8.02","Ukraine"
"1950","27.13","United Arab Emirates"
"1950","8.62","United Kingdom"
"1950","8.81","United Kingdom (Europe)"
"1950","8.66","United States"
"1950","17.41","Uruguay"
"1950","11.03","Uzbekistan"
"1950","24.79","Venezuela"
"1950","23.94","Vietnam"
"1950","26","Virgin Islands"
"1950","22.48","Western Sahara"
"1950","25.82","Yemen"
"1950","20.85","Zambia"
"1950","21.26","Zimbabwe"
"1951","13.97","Afghanistan"
"1951","24.13","Africa"
"1951","5.82","Åland"
"1951","13.57","Albania"
"1951","23.32","Algeria"
"1951","26.69","American Samoa"
"1951","10.97","Andorra"
"1951","22","Angola"
"1951","26.7","Anguilla"
"1951","26.54","Antigua And Barbuda"
"1951","14.84","Argentina"
"1951","8.74","Armenia"
"1951","28.18","Aruba"
"1951","7.67","Asia"
"1951","21.56","Australia"
"1951","7.08","Austria"
"1951","11.33","Azerbaijan"
"1951","25.08","Bahamas"
"1951","26.26","Bahrain"
"1951","25.86","Baker Island"
"1951","25.28","Bangladesh"
"1951","26.59","Barbados"
"1951","6.36","Belarus"
"1951","9.92","Belgium"
"1951","25.34","Belize"
"1951","27.42","Benin"
"1951","12.28","Bhutan"
"1951","20.93","Bolivia"
"1951","27.41","Bonaire, Saint Eustatius And Saba"
"1951","11.71","Bosnia And Herzegovina"
"1951","21.78","Botswana"
"1951","24.8","Brazil"
"1951","26.43","British Virgin Islands"
"1951","11.49","Bulgaria"
"1951","28.25","Burkina Faso"
"1951","23.93","Burma"
"1951","19.9","Burundi"
"1951","26.84","Cambodia"
"1951","24.41","Cameroon"
"1951","-5.39","Canada"
"1951","24.07","Cape Verde"
"1951","26.78","Cayman Islands"
"1951","25.34","Central African Republic"
"1951","27.03","Chad"
"1951","9.57","Chile"
"1951","6.87","China"
"1951","25.78","Christmas Island"
"1951","24.81","Colombia"
"1951","25.7","Comoros"
"1951","24.68","Congo"
"1951","23.88","Congo (Democratic Republic Of The)"
"1951","25.95","Costa Rica"
"1951","26.06","Côte D'Ivoire"
"1951","12.48","Croatia"
"1951","25.39","Cuba"
"1951","27.61","Curaçao"
"1951","19.3","Cyprus"
"1951","8.57","Czech Republic"
"1951","-18.41","Denmark"
"1951","8.3","Denmark (Europe)"
"1951","28.71","Djibouti"
"1951","26.2","Dominica"
"1951","25.5","Dominican Republic"
"1951","22.01","Ecuador"
"1951","23.07","Egypt"
"1951","25.19","El Salvador"
"1951","25.16","Equatorial Guinea"
"1951","26.76","Eritrea"
"1951","5.09","Estonia"
"1951","22.9","Ethiopia"
"1951","8.29","Europe"
"1951","6.1","Falkland Islands (Islas Malvinas)"
"1951","6.53","Faroe Islands"
"1951","26.92","Federated States Of Micronesia"
"1951","24.94","Fiji"
"1951","1.6","Finland"
"1951","12.95","France"
"1951","10.53","France (Europe)"
"1951","26.06","French Guiana"
"1951","26.39","French Polynesia"
"1951","5.43","French Southern And Antarctic Lands"
"1951","24.49","Gabon"
"1951","27.35","Gambia"
"1951","19.83","Gaza Strip"
"1951","8.44","Georgia"
"1951","8.82","Germany"
"1951","26.93","Ghana"
"1951","15.57","Greece"
"1951","-18.96","Greenland"
"1951","26.86","Grenada"
"1951","26.43","Guadeloupe"
"1951","27.23","Guam"
"1951","23.49","Guatemala"
"1951","10.95","Guernsey"
"1951","25.47","Guinea"
"1951","26.69","Guinea Bissau"
"1951","26.23","Guyana"
"1951","26.2","Haiti"
"1951","3.01","Heard Island And Mcdonald Islands"
"1951","24.98","Honduras"
"1951","22.72","Hong Kong"
"1951","11","Hungary"
"1951","1.18","Iceland"
"1951","24.22","India"
"1951","26.08","Indonesia"
"1951","17.58","Iran"
"1951","22.28","Iraq"
"1951","9.23","Ireland"
"1951","9.21","Isle Of Man"
"1951","20.28","Israel"
"1951","13.34","Italy"
"1951","26.14","Jamaica"
"1951","12.15","Japan"
"1951","10.95","Jersey"
"1951","20.03","Jordan"
"1951","5.32","Kazakhstan"
"1951","23.99","Kenya"
"1951","27.76","Kingman Reef"
"1951","27.31","Kiribati"
"1951","25.57","Kuwait"
"1951","2.81","Kyrgyzstan"
"1951","23.73","Laos"
"1951","5.61","Latvia"
"1951","18.17","Lebanon"
"1951","13.42","Lesotho"
"1951","25.45","Liberia"
"1951","22.7","Libya"
"1951","5.29","Liechtenstein"
"1951","6.4","Lithuania"
"1951","9.62","Luxembourg"
"1951","22.42","Macau"
"1951","11.43","Macedonia"
"1951","22.67","Madagascar"
"1951","21.45","Malawi"
"1951","26.19","Malaysia"
"1951","28.68","Mali"
"1951","18.68","Malta"
"1951","26.2","Martinique"
"1951","27.37","Mauritania"
"1951","23.54","Mauritius"
"1951","26.33","Mayotte"
"1951","21.12","Mexico"
"1951","10.1","Moldova"
"1951","9.33","Monaco"
"1951","-0.7","Mongolia"
"1951","11.41","Montenegro"
"1951","26.49","Montserrat"
"1951","17.59","Morocco"
"1951","23.54","Mozambique"
"1951","20.62","Namibia"
"1951","15.29","Nepal"
"1951","9.96","Netherlands"
"1951","9.57","Netherlands (Europe)"
"1951","22.58","New Caledonia"
"1951","10.08","New Zealand"
"1951","26.25","Nicaragua"
"1951","27.64","Niger"
"1951","26.75","Nigeria"
"1951","24.89","Niue"
"1951","1.93","North America"
"1951","7.13","North Korea"
"1951","27.23","Northern Mariana Islands"
"1951","0.12","Norway"
"1951","21.39","Oceania"
"1951","27.09","Oman"
"1951","20.75","Pakistan"
"1951","27.5","Palau"
"1951","23.34","Palestina"
"1951","27.78","Palmyra Atoll"
"1951","26.49","Panama"
"1951","24.43","Papua New Guinea"
"1951","23.43","Paraguay"
"1951","20.01","Peru"
"1951","26.74","Philippines"
"1951","8.36","Poland"
"1951","14.47","Portugal"
"1951","25.6","Puerto Rico"
"1951","27.11","Qatar"
"1951","23.2","Reunion"
"1951","10.05","Romania"
"1951","-5.06","Russia"
"1951","19.06","Rwanda"
"1951","26.7","Saint Barthélemy"
"1951","25.95","Saint Kitts And Nevis"
"1951","26.76","Saint Lucia"
"1951","26.7","Saint Martin"
"1951","6.23","Saint Pierre And Miquelon"
"1951","26.89","Saint Vincent And The Grenadines"
"1951","26.43","Samoa"
"1951","14.68","San Marino"
"1951","26.05","Sao Tome And Principe"
"1951","26.04","Saudi Arabia"
"1951","27.83","Senegal"
"1951","11.27","Serbia"
"1951","26.88","Seychelles"
"1951","26.06","Sierra Leone"
"1951","26.84","Singapore"
"1951","26.7","Sint Maarten"
"1951","8.84","Slovakia"
"1951","10.68","Slovenia"
"1951","26.56","Solomon Islands"
"1951","26.93","Somalia"
"1951","17","South Africa"
"1951","21.93","South America"
"1951","1.27","South Georgia And The South Sandwich Isla"
"1951","12.23","South Korea"
"1951","13.35","Spain"
"1951","27.02","Sri Lanka"
"1951","26.87","Sudan"
"1951","26.49","Suriname"
"1951","-8.07","Svalbard And Jan Mayen"
"1951","18.63","Swaziland"
"1951","2.58","Sweden"
"1951","7.4","Switzerland"
"1951","18.4","Syria"
"1951","22.16","Taiwan"
"1951","3.85","Tajikistan"
"1951","22.23","Tanzania"
"1951","26.26","Thailand"
"1951","26.06","Timor Leste"
"1951","27.2","Togo"
"1951","22.88","Tonga"
"1951","26.26","Trinidad And Tobago"
"1951","20.23","Tunisia"
"1951","12.06","Turkey"
"1951","14.48","Turkmenistan"
"1951","26.36","Turks And Caicas Islands"
"1951","22.89","Uganda"
"1951","8.41","Ukraine"
"1951","27.89","United Arab Emirates"
"1951","8.44","United Kingdom"
"1951","8.59","United Kingdom (Europe)"
"1951","8.42","United States"
"1951","17.34","Uruguay"
"1951","11.91","Uzbekistan"
"1951","25.36","Venezuela"
"1951","23.86","Vietnam"
"1951","26.43","Virgin Islands"
"1951","21.96","Western Sahara"
"1951","26.39","Yemen"
"1951","21.29","Zambia"
"1951","21.1","Zimbabwe"
"1952","14.18","Afghanistan"
"1952","24.28","Africa"
"1952","4.8","Åland"
"1952","13.57","Albania"
"1952","23.19","Algeria"
"1952","27.06","American Samoa"
"1952","11.66","Andorra"
"1952","22.19","Angola"
"1952","26.87","Anguilla"
"1952","26.71","Antigua And Barbuda"
"1952","14.92","Argentina"
"1952","9.21","Armenia"
"1952","28.51","Aruba"
"1952","7.21","Asia"
"1952","21.49","Australia"
"1952","6.2","Austria"
"1952","11.68","Azerbaijan"
"1952","25.25","Bahamas"
"1952","26.16","Bahrain"
"1952","25.77","Baker Island"
"1952","25.16","Bangladesh"
"1952","26.93","Barbados"
"1952","5.66","Belarus"
"1952","9.5","Belgium"
"1952","25.43","Belize"
"1952","27.27","Benin"
"1952","12.2","Bhutan"
"1952","20.81","Bolivia"
"1952","27.71","Bonaire, Saint Eustatius And Saba"
"1952","11.24","Bosnia And Herzegovina"
"1952","22.47","Botswana"
"1952","24.85","Brazil"
"1952","26.61","British Virgin Islands"
"1952","11.52","Bulgaria"
"1952","27.98","Burkina Faso"
"1952","24.1","Burma"
"1952","20.28","Burundi"
"1952","26.92","Cambodia"
"1952","24.46","Cameroon"
"1952","-3.98","Canada"
"1952","24.05","Cape Verde"
"1952","26.78","Cayman Islands"
"1952","25.62","Central African Republic"
"1952","27.56","Chad"
"1952","9.83","Chile"
"1952","6.64","China"
"1952","25.98","Christmas Island"
"1952","25.07","Colombia"
"1952","25.97","Comoros"
"1952","24.68","Congo"
"1952","24","Congo (Democratic Republic Of The)"
"1952","25.8","Costa Rica"
"1952","26.03","Côte D'Ivoire"
"1952","11.89","Croatia"
"1952","25.47","Cuba"
"1952","27.95","Curaçao"
"1952","19.29","Cyprus"
"1952","7.5","Czech Republic"
"1952","-17.37","Denmark"
"1952","7.38","Denmark (Europe)"
"1952","28.57","Djibouti"
"1952","26.54","Dominica"
"1952","25.92","Dominican Republic"
"1952","21.89","Ecuador"
"1952","23.26","Egypt"
"1952","25.26","El Salvador"
"1952","25.09","Equatorial Guinea"
"1952","27.1","Eritrea"
"1952","4.45","Estonia"
"1952","23.17","Ethiopia"
"1952","7.93","Europe"
"1952","6.4","Falkland Islands (Islas Malvinas)"
"1952","6.32","Faroe Islands"
"1952","27.12","Federated States Of Micronesia"
"1952","25.42","Fiji"
"1952","1.14","Finland"
"1952","13.09","France"
"1952","10.69","France (Europe)"
"1952","26.09","French Guiana"
"1952","26.47","French Polynesia"
"1952","4.85","French Southern And Antarctic Lands"
"1952","24.44","Gabon"
"1952","27.26","Gambia"
"1952","19.94","Gaza Strip"
"1952","8.91","Georgia"
"1952","8.01","Germany"
"1952","26.78","Ghana"
"1952","15.86","Greece"
"1952","-17.87","Greenland"
"1952","27.2","Grenada"
"1952","26.64","Guadeloupe"
"1952","27.05","Guam"
"1952","23.53","Guatemala"
"1952","10.95","Guernsey"
"1952","25.47","Guinea"
"1952","26.7","Guinea Bissau"
"1952","26.41","Guyana"
"1952","26.54","Haiti"
"1952","2.49","Heard Island And Mcdonald Islands"
"1952","24.94","Honduras"
"1952","23.35","Hong Kong"
"1952","10.12","Hungary"
"1952","1.44","Iceland"
"1952","24.37","India"
"1952","26.08","Indonesia"
"1952","17.55","Iran"
"1952","22.3","Iraq"
"1952","9.38","Ireland"
"1952","9.18","Isle Of Man"
"1952","20.39","Israel"
"1952","13.26","Italy"
"1952","26.36","Jamaica"
"1952","11.94","Japan"
"1952","10.95","Jersey"
"1952","20.14","Jordan"
"1952","4.89","Kazakhstan"
"1952","24.39","Kenya"
"1952","27.38","Kingman Reef"
"1952","27.08","Kiribati"
"1952","25.49","Kuwait"
"1952","3.08","Kyrgyzstan"
"1952","23.99","Laos"
"1952","4.97","Latvia"
"1952","18.3","Lebanon"
"1952","14","Lesotho"
"1952","25.51","Liberia"
"1952","22.72","Libya"
"1952","4.67","Liechtenstein"
"1952","5.53","Lithuania"
"1952","9.23","Luxembourg"
"1952","23.1","Macau"
"1952","11.41","Macedonia"
"1952","22.82","Madagascar"
"1952","21.36","Malawi"
"1952","26.17","Malaysia"
"1952","28.14","Mali"
"1952","19.34","Malta"
"1952","26.54","Martinique"
"1952","27.22","Mauritania"
"1952","23.55","Mauritius"
"1952","26.61","Mayotte"
"1952","20.89","Mexico"
"1952","9.5","Moldova"
"1952","9.37","Monaco"
"1952","-1.38","Mongolia"
"1952","11.24","Montenegro"
"1952","26.67","Montserrat"
"1952","17.89","Morocco"
"1952","23.73","Mozambique"
"1952","20.99","Namibia"
"1952","15.29","Nepal"
"1952","9.34","Netherlands"
"1952","8.93","Netherlands (Europe)"
"1952","23.17","New Caledonia"
"1952","10.41","New Zealand"
"1952","26.12","Nicaragua"
"1952","27.34","Niger"
"1952","26.7","Nigeria"
"1952","25.5","Niue"
"1952","2.8","North America"
"1952","6.74","North Korea"
"1952","27.05","Northern Mariana Islands"
"1952","-0.37","Norway"
"1952","21.35","Oceania"
"1952","26.93","Oman"
"1952","20.92","Pakistan"
"1952","27.44","Palau"
"1952","23.51","Palestina"
"1952","27.41","Palmyra Atoll"
"1952","26.5","Panama"
"1952","24.66","Papua New Guinea"
"1952","23.25","Paraguay"
"1952","20.02","Peru"
"1952","26.77","Philippines"
"1952","7.05","Poland"
"1952","14.77","Portugal"
"1952","25.78","Puerto Rico"
"1952","26.95","Qatar"
"1952","23.44","Reunion"
"1952","9.54","Romania"
"1952","-6.18","Russia"
"1952","19.44","Rwanda"
"1952","26.87","Saint Barthélemy"
"1952","26.15","Saint Kitts And Nevis"
"1952","27.12","Saint Lucia"
"1952","26.87","Saint Martin"
"1952","5.85","Saint Pierre And Miquelon"
"1952","27.26","Saint Vincent And The Grenadines"
"1952","26.77","Samoa"
"1952","14.23","San Marino"
"1952","26.04","Sao Tome And Principe"
"1952","25.93","Saudi Arabia"
"1952","27.63","Senegal"
"1952","10.99","Serbia"
"1952","26.86","Seychelles"
"1952","26.18","Sierra Leone"
"1952","26.89","Singapore"
"1952","26.87","Sint Maarten"
"1952","7.52","Slovakia"
"1952","9.93","Slovenia"
"1952","26.74","Solomon Islands"
"1952","27.04","Somalia"
"1952","17.52","South Africa"
"1952","22","South America"
"1952","1.24","South Georgia And The South Sandwich Isla"
"1952","11.98","South Korea"
"1952","13.79","Spain"
"1952","27.27","Sri Lanka"
"1952","27.49","Sudan"
"1952","26.59","Suriname"
"1952","-7.42","Svalbard And Jan Mayen"
"1952","19.14","Swaziland"
"1952","1.78","Sweden"
"1952","7.14","Switzerland"
"1952","18.63","Syria"
"1952","22.58","Taiwan"
"1952","4.27","Tajikistan"
"1952","22.43","Tanzania"
"1952","26.32","Thailand"
"1952","26.32","Timor Leste"
"1952","27.01","Togo"
"1952","23.74","Tonga"
"1952","26.55","Trinidad And Tobago"
"1952","20.71","Tunisia"
"1952","12.53","Turkey"
"1952","14.68","Turkmenistan"
"1952","26.78","Turks And Caicas Islands"
"1952","23.09","Uganda"
"1952","8.09","Ukraine"
"1952","27.82","United Arab Emirates"
"1952","8.37","United Kingdom"
"1952","8.5","United Kingdom (Europe)"
"1952","8.98","United States"
"1952","17.53","Uruguay"
"1952","12.31","Uzbekistan"
"1952","25.56","Venezuela"
"1952","24.19","Vietnam"
"1952","26.61","Virgin Islands"
"1952","22.33","Western Sahara"
"1952","26.08","Yemen"
"1952","21.52","Zambia"
"1952","21.33","Zimbabwe"
"1953","14.65","Afghanistan"
"1953","24.09","Africa"
"1953","6.75","Åland"
"1953","12.59","Albania"
"1953","22.87","Algeria"
"1953","26.95","American Samoa"
"1953","11.47","Andorra"
"1953","21.72","Angola"
"1953","27.04","Anguilla"
"1953","26.86","Antigua And Barbuda"
"1953","14.97","Argentina"
"1953","8.37","Armenia"
"1953","28.45","Aruba"
"1953","7.84","Asia"
"1953","21.47","Australia"
"1953","6.79","Austria"
"1953","11.07","Azerbaijan"
"1953","25.53","Bahamas"
"1953","26.07","Bahrain"
"1953","25.82","Baker Island"
"1953","25.37","Bangladesh"
"1953","26.82","Barbados"
"1953","6.06","Belarus"
"1953","10.1","Belgium"
"1953","25.67","Belize"
"1953","27.19","Benin"
"1953","12.24","Bhutan"
"1953","21.28","Bolivia"
"1953","27.64","Bonaire, Saint Eustatius And Saba"
"1953","10.67","Bosnia And Herzegovina"
"1953","21.62","Botswana"
"1953","25","Brazil"
"1953","26.72","British Virgin Islands"
"1953","10.33","Bulgaria"
"1953","28","Burkina Faso"
"1953","24.21","Burma"
"1953","20.19","Burundi"
"1953","27.1","Cambodia"
"1953","24.41","Cameroon"
"1953","-3.96","Canada"
"1953","24.33","Cape Verde"
"1953","27.23","Cayman Islands"
"1953","25.5","Central African Republic"
"1953","27.23","Chad"
"1953","9.71","Chile"
"1953","7.02","China"
"1953","26.07","Christmas Island"
"1953","25.11","Colombia"
"1953","25.96","Comoros"
"1953","24.57","Congo"
"1953","23.92","Congo (Democratic Republic Of The)"
"1953","25.92","Costa Rica"
"1953","26.08","Côte D'Ivoire"
"1953","11.62","Croatia"
"1953","25.84","Cuba"
"1953","27.86","Curaçao"
"1953","18.24","Cyprus"
"1953","8.41","Czech Republic"
"1953","-17.83","Denmark"
"1953","8.94","Denmark (Europe)"
"1953","28.77","Djibouti"
"1953","26.51","Dominica"
"1953","25.97","Dominican Republic"
"1953","22.17","Ecuador"
"1953","22.67","Egypt"
"1953","25.55","El Salvador"
"1953","25.06","Equatorial Guinea"
"1953","26.94","Eritrea"
"1953","5.66","Estonia"
"1953","23.2","Ethiopia"
"1953","8.42","Europe"
"1953","6.41","Falkland Islands (Islas Malvinas)"
"1953","7.71","Faroe Islands"
"1953","27.28","Federated States Of Micronesia"
"1953","25.25","Fiji"
"1953","2.73","Finland"
"1953","13.14","France"
"1953","10.77","France (Europe)"
"1953","26.07","French Guiana"
"1953","26.36","French Polynesia"
"1953","4.62","French Southern And Antarctic Lands"
"1953","24.37","Gabon"
"1953","27.44","Gambia"
"1953","18.91","Gaza Strip"
"1953","7.82","Georgia"
"1953","9.07","Germany"
"1953","26.75","Ghana"
"1953","14.53","Greece"
"1953","-18.38","Greenland"
"1953","27.09","Grenada"
"1953","26.75","Guadeloupe"
"1953","27.25","Guam"
"1953","23.84","Guatemala"
"1953","11.21","Guernsey"
"1953","25.65","Guinea"
"1953","26.88","Guinea Bissau"
"1953","26.35","Guyana"
"1953","26.72","Haiti"
"1953","2.24","Heard Island And Mcdonald Islands"
"1953","25.28","Honduras"
"1953","23.15","Hong Kong"
"1953","10.08","Hungary"
"1953","2.41","Iceland"
"1953","24.56","India"
"1953","26.03","Indonesia"
"1953","17.73","Iran"
"1953","21.43","Iraq"
"1953","10.02","Ireland"
"1953","10.1","Isle Of Man"
"1953","19.45","Israel"
"1953","13.04","Italy"
"1953","26.52","Jamaica"
"1953","11.96","Japan"
"1953","11.21","Jersey"
"1953","19.16","Jordan"
"1953","5.55","Kazakhstan"
"1953","24.37","Kenya"
"1953","27.06","Kingman Reef"
"1953","26.75","Kiribati"
"1953","24.9","Kuwait"
"1953","3.4","Kyrgyzstan"
"1953","24.15","Laos"
"1953","5.96","Latvia"
"1953","17.18","Lebanon"
"1953","13.68","Lesotho"
"1953","25.56","Liberia"
"1953","22.29","Libya"
"1953","5.22","Liechtenstein"
"1953","6.52","Lithuania"
"1953","9.83","Luxembourg"
"1953","22.86","Macau"
"1953","10.27","Macedonia"
"1953","22.82","Madagascar"
"1953","21.48","Malawi"
"1953","26.19","Malaysia"
"1953","28.34","Mali"
"1953","18.44","Malta"
"1953","26.51","Martinique"
"1953","27.63","Mauritania"
"1953","23.74","Mauritius"
"1953","26.51","Mayotte"
"1953","21.07","Mexico"
"1953","8.78","Moldova"
"1953","9.42","Monaco"
"1953","-0.65","Mongolia"
"1953","10.34","Montenegro"
"1953","26.81","Montserrat"
"1953","17.82","Morocco"
"1953","23.57","Mozambique"
"1953","20.37","Namibia"
"1953","15.54","Nepal"
"1953","10.23","Netherlands"
"1953","9.84","Netherlands (Europe)"
"1953","22.91","New Caledonia"
"1953","10.39","New Zealand"
"1953","26.36","Nicaragua"
"1953","27.34","Niger"
"1953","26.72","Nigeria"
"1953","25.18","Niue"
"1953","3","North America"
"1953","6.7","North Korea"
"1953","27.25","Northern Mariana Islands"
"1953","1.63","Norway"
"1953","21.32","Oceania"
"1953","27.15","Oman"
"1953","21.39","Pakistan"
"1953","27.59","Palau"
"1953","23.1","Palestina"
"1953","27.1","Palmyra Atoll"
"1953","26.64","Panama"
"1953","24.39","Papua New Guinea"
"1953","23.84","Paraguay"
"1953","20.26","Peru"
"1953","26.85","Philippines"
"1953","8.09","Poland"
"1953","15.27","Portugal"
"1953","25.79","Puerto Rico"
"1953","27.03","Qatar"
"1953","23.39","Reunion"
"1953","8.82","Romania"
"1953","-4.78","Russia"
"1953","19.3","Rwanda"
"1953","27.04","Saint Barthélemy"
"1953","26.26","Saint Kitts And Nevis"
"1953","27.02","Saint Lucia"
"1953","27.04","Saint Martin"
"1953","5.61","Saint Pierre And Miquelon"
"1953","27.16","Saint Vincent And The Grenadines"
"1953","26.67","Samoa"
"1953","14.04","San Marino"
"1953","25.95","Sao Tome And Principe"
